epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.0279,1.7704,2.31466,1.52617,0.57259,0.74523,0.64182,0.33392,1.51203,1.42276,1.49363,0.00054889,0.00054889,0.00054889
2,65.2723,1.66234,1.37327,1.42746,0.42436,0.34596,0.30686,0.17178,1.65793,2.23922,1.6015,0.00109362,0.00109362,0.00109362
3,96.6464,1.7034,1.49727,1.47326,0.52899,0.41434,0.45343,0.2443,1.63623,1.87468,1.53125,0.00162735,0.00162735,0.00162735
4,127.62,1.71351,1.41994,1.44461,0.6446,0.54517,0.58096,0.32304,1.50815,1.33189,1.42926,0.00161749,0.00161749,0.00161749
5,158.204,1.63198,1.31303,1.41687,0.65506,0.58025,0.55354,0.29916,1.5102,1.36418,1.427,0.00160099,0.00160099,0.00160099
6,190.124,1.6087,1.27797,1.41773,0.63091,0.64893,0.61729,0.35609,1.46473,1.1691,1.39341,0.00158448,0.00158448,0.00158448
7,221.233,1.58446,1.23548,1.38963,0.63479,0.5916,0.56921,0.30368,1.59872,1.30625,1.50331,0.00156798,0.00156798,0.00156798
8,253.136,1.57787,1.18873,1.39686,0.67818,0.70034,0.67072,0.36856,1.57325,1.20746,1.45408,0.00155148,0.00155148,0.00155148
9,284.061,1.53769,1.1644,1.35917,0.61907,0.66493,0.63055,0.34061,1.53699,1.10574,1.4222,0.00153497,0.00153497,0.00153497
10,314.435,1.54281,1.1096,1.36555,0.6619,0.71549,0.69542,0.40166,1.46309,1.04474,1.40087,0.00151847,0.00151847,0.00151847
11,345.68,1.52554,1.075,1.34021,0.60982,0.68682,0.65698,0.35477,1.60095,1.13438,1.47904,0.00150197,0.00150197,0.00150197
12,376.664,1.4955,1.04978,1.33548,0.69836,0.73463,0.708,0.39251,1.47074,0.94707,1.39858,0.00148546,0.00148546,0.00148546
13,409.543,1.4863,0.99222,1.32673,0.7122,0.66863,0.68356,0.34644,1.61998,1.08384,1.46555,0.00146896,0.00146896,0.00146896
14,441.548,1.45461,0.98985,1.31043,0.71721,0.71773,0.71197,0.37483,1.56535,0.94269,1.44827,0.00145246,0.00145246,0.00145246
15,474.175,1.4415,0.99542,1.30037,0.62695,0.71959,0.71157,0.38579,1.54816,1.01136,1.43171,0.00143595,0.00143595,0.00143595
16,505.455,1.44475,0.93968,1.30674,0.72822,0.71067,0.71393,0.38895,1.60183,0.94794,1.45157,0.00141945,0.00141945,0.00141945
